governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
Cairo,New Cairo,Restaurants,Meal at an Inexpensive Restaurant,250.0,120.0,500.0
Cairo,New Cairo,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800.0,700.0,1000.0
Cairo,New Cairo,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),240.0,230.0,250.0
Cairo,New Cairo,Restaurants,Domestic Draft Beer (0.5 Liter),65.0,30.0,200.0
Cairo,New Cairo,Restaurants,Imported Beer (0.33 Liter Bottle),120.0,100.0,200.0
Cairo,New Cairo,Restaurants,Cappuccino (Regular Size),85.0,45.0,120.0
Cairo,New Cairo,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",18.75,15.0,30.0
Cairo,New Cairo,Restaurants,Bottled Water (0.33 Liter),8.71,6.0,10.0
Cairo,New Cairo,Markets,"Milk (Regular, 1 Liter)",49.0,40.0,55.0
Cairo,New Cairo,Markets,Fresh White Bread (500 g Loaf),32.5,15.0,50.0
Cairo,New Cairo,Markets,White Rice (1 kg),38.28,29.0,40.0
Cairo,New Cairo,Markets,"Eggs (12, Large Size)",72.0,54.0,96.0
Cairo,New Cairo,Markets,Local Cheese (1 kg),214.65,100.0,350.0
Cairo,New Cairo,Markets,Chicken Fillets (1 kg),212.0,150.0,250.0
Cairo,New Cairo,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),460.0,400.0,510.0
Cairo,New Cairo,Markets,Apples (1 kg),85.0,50.0,130.0
Cairo,New Cairo,Markets,Bananas (1 kg),40.69,30.0,57.0
Cairo,New Cairo,Markets,Oranges (1 kg),31.83,20.0,50.0
Cairo,New Cairo,Markets,Tomatoes (1 kg),19.24,10.0,30.0
Cairo,New Cairo,Markets,Potatoes (1 kg),18.54,10.0,30.0
Cairo,New Cairo,Markets,Onions (1 kg),21.4,15.0,25.0
Cairo,New Cairo,Markets,Lettuce (1 Head),22.5,10.0,25.0
Cairo,New Cairo,Markets,Bottled Water (1.5 Liter),10.71,10.0,12.0
Cairo,New Cairo,Markets,Bottle of Wine (Mid-Range),350.0,300.0,600.0
Cairo,New Cairo,Markets,Domestic Beer (0.5 Liter Bottle),50.0,40.0,120.0
Cairo,New Cairo,Markets,Imported Beer (0.33 Liter Bottle),109.41,60.0,160.0
Cairo,New Cairo,Markets,"Cigarettes (Pack of 20, Marlboro)",100.0,95.0,120.0
Cairo,New Cairo,Transportation,One-Way Ticket (Local Transport),20.0,20.0,25.0
Cairo,New Cairo,Transportation,Monthly Public Transport Pass (Regular Price),500.0,,
Cairo,New Cairo,Transportation,Taxi Start (Standard Tariff),17.5,10.0,20.0
Cairo,New Cairo,Transportation,Taxi 1 km (Standard Tariff),11.0,8.0,25.0
Cairo,New Cairo,Transportation,Taxi 1 Hour Waiting (Standard Tariff),50.0,30.0,100.0
Cairo,New Cairo,Transportation,Gasoline (1 Liter),20.17,17.0,24.0
Cairo,New Cairo,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000.0,1500000.0,1950000.0
Cairo,New Cairo,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1216666.67,1150000.0,1600000.0
Cairo,New Cairo,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1282.5,650.0,2000.0
Cairo,New Cairo,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",358.28,100.0,1000.0
Cairo,New Cairo,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",563.08,350.0,1200.0
Cairo,New Cairo,Sports And Leisure,Monthly Fitness Club Membership,850.0,700.0,1000.0
Cairo,New Cairo,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",300.0,200.0,400.0
Cairo,New Cairo,Sports And Leisure,Cinema Ticket (International Release),150.0,120.0,300.0
Cairo,New Cairo,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",1500.0,1500.0,8000.0
