listing_id,category,governorate,city,location_full,location_name,property_type,price_egp,price_period,price_per_sqm,size_sqm,bathrooms,latitude,longitude,is_verified,is_premium,title,agent_name,broker_name,scraped_date
67999131,Shop,Cairo,New Cairo,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",El Rehab Extension,Shop,250000,monthly,1315.79,190,1,30.06147003173828,31.511394500732425,False,False,Fully finished 190m shop with ACS for rent-ALRehab,Global  Marketing,Global Marketing Real Estate,2026-05-12
67999120,Shop,Alexandria,Alexandria,"Mohamed Ezz Al Arab St., Laurent, Hay Sharq, Alexandria",Mohamed Ezz Al Arab St.,Shop,12000,monthly,400.0,30,1,31.24607276916504,29.97706794738769,False,False,Move-In Ready Shop | Super Lux Finish,asmaa eltaqi,RE/MAX Avalon,2026-05-12
67998240,Shop,Giza,Sheikh Zayed,"Arkan Plaza, 26th of July Corridor, Sheikh Zayed City, Giza",Arkan Plaza,Shop,200000,monthly,2000.0,100,1,30.02527236938477,30.994361877441406,False,False,shop for rent in arkan prime location in zayed,Islam Adel,Rokn Real Estate,2026-05-12
67995968,Shop,Giza,Sheikh Zayed,"Capital Business Park, 26th of July Corridor, Sheikh Zayed City, Giza",Capital Business Park,Shop,200000,monthly,1538.46,130,1,30.0254020690918,31.01024436950684,False,False,Ground Shop with Oudoor Area - Waslet Dahshour,Bassam Abou Hatab,RE/MAX Al Mohager,2026-05-12
67995187,Shop,Cairo,New Cairo,"Ja'far ibn Abi Talib St., El Yasmeen 4, El Yasmeen, New Cairo City, Cairo",Ja'far ibn Abi Talib St.,Shop,37000,monthly,725.49,51,1,30.04059410095215,31.447832107543945,False,False,Empty shop for rent in the mall in Yasmine in the,نورا الماظ,Al Maz Real Estate,2026-05-12
67742560,Shop,Cairo,New Cairo,"Golden Gate, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Golden Gate,Shop,375000,monthly,2500.0,150,none,30.02476501464844,31.50112533569336,False,False,Prime Commercial Shop in New Cairo High ROI,sahar negm,W Professional,2026-05-12
67740759,Shop,Cairo,Cairo,"Street 217, Degla, Hay El Maadi, Cairo",Street 217,Shop,160000,monthly,640.0,250,2,29.960691452026367,31.27530670166016,False,False,Shop for rent | Prime location | Degla Maadi,Ahmad Raafat,Emkan for Real Estate,2026-05-12
67740172,Shop,Cairo,New Cairo,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Bank Center Street,Shop,336000,monthly,1400.0,240,2,30.01827621459961,31.421613693237305,False,False,Commercial space for rent – ​​New Cairo,Omar  Adel,Picky Properties,2026-05-12
67740169,Shop,Giza,Sheikh Zayed,"Al Nada, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Al Nada,Shop,85000,monthly,825.24,103,2,30.025766372680664,31.00514411926269,False,False,"A shop located next to Zayed Specialized Hospital,",Mohamed Gabry,Jareed Real Estate,2026-05-12
67737497,Shop,Giza,Sheikh Zayed,"Za Mall, Waslet Dahshur Road, Sheikh Zayed City, Giza",Za Mall,Shop,55000,monthly,1375.0,40,none,30.015888214111328,30.974422454833984,False,False,a shop in a high-traffic commercial destination,Mohamed Gabry,Jareed Real Estate,2026-05-12
