scraped_date,type,city,region,price,area,bedrooms,bathrooms,floor_numeric,floor_label,furnished
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,14000,160,3,2,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,30000,148,2,3,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,7000,170,3,2,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,19000,148,2,2,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,23000,200,3,3,0.0,Ground,no
2026-05-10,apartment,Giza,Sheikh Zayed,12500,120,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,8000,200,3,2,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,180,3,2,0.0,Ground,yes
2026-05-10,apartment,Giza,Sheikh Zayed,13500,196,2,2,0.0,Ground,no
2026-05-10,apartment,Cairo,Rehab City,7500,131,3,2,4.0,4,no
2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,20000,170,2,3,3.0,3,yes
2026-05-10,duplex,Cairo,Rehab City,17000,280,4,4,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,185,3,2,5.0,5,no
2026-05-10,apartment,Giza,Sheikh Zayed,13000,297,3,3,3.0,3,no
2026-05-10,apartment,Cairo,Nasr City,18000,120,2,1,1.0,1,yes
2026-05-10,apartment,Giza,Dokki,20000,240,3,3,4.0,4,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,210,4,3,2.0,2,no
2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,25000,250,3,4,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,37000,190,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Heliopolis,15000,250,4,4,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,36450,157,2,2,2.0,2,no
2026-05-10,apartment,Giza,Sheikh Zayed,15000,150,2,3,2.0,2,yes
2026-05-10,apartment,Giza,Sheikh Zayed,25000,140,3,3,4.0,4,yes
2026-05-10,apartment,Giza,Sheikh Zayed,3500,71,2,1,4.0,4,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,153,2,3,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,23000,214,3,3,3.0,3,no
2026-05-10,apartment,Cairo,Rehab City,23000,197,3,2,0.0,Ground,yes
2026-05-10,apartment,Giza,Mohandessin,15000,120,2,1,5.0,5,yes
2026-05-10,apartment,Giza,Sheikh Zayed,32000,245,4,4,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,125,2,2,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,17000,200,3,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,210,3,3,2.0,2,no
