Id_cost,governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
1135,Luxor,Luxor,Markets,Bottled Water (1.5 Liter),9.25,6,10.55
1136,Luxor,Luxor,Markets,Bottle of Wine (Mid-Range),388.72,250,527.45
1137,Luxor,Luxor,Markets,Domestic Beer (0.5 Liter Bottle),64.73,40,94.19
1138,Luxor,Luxor,Markets,Imported Beer (0.33 Liter Bottle),90,65.93,120
1139,Luxor,Luxor,Markets,"Cigarettes (Pack of 20, Marlboro)",80,80,130
1140,Luxor,Luxor,Transportation,One-Way Ticket (Local Transport),3.5,,
1141,Luxor,Luxor,Transportation,Taxi Start (Standard Tariff),50,50,50
1142,Luxor,Luxor,Transportation,Taxi 1 km (Standard Tariff),10.25,10,16
1143,Luxor,Luxor,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100,100,100
1144,Luxor,Luxor,Transportation,Gasoline (1 Liter),16.5,12,24
1145,Luxor,Luxor,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1690000,1690000
1146,Luxor,Luxor,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1000000,1000000,1150000
1147,Luxor,Luxor,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1202.02,566.67,2445.44
1148,Luxor,Luxor,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",150,100,527.45
1149,Luxor,Luxor,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",325,310,1100
1150,Luxor,Luxor,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",500,,
1151,Luxor,Luxor,Sports And Leisure,Cinema Ticket (International Release),180.49,150,210.98
1152,Luxor,Luxor,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",5274.47,5274.47,5274.47
1153,Luxor,Luxor,Childcare,"International Primary School, Annual Tuition per Child",31646.81,31646.81,31646.81
1154,Luxor,Luxor,Clothing And Shoes,Jeans (Levi's 501 or Similar),1074.01,622.02,1700
1155,Luxor,Luxor,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),1750,1000,2500
1156,Luxor,Luxor,Clothing And Shoes,Men's Leather Business Shoes,1500,1500,1500
1157,Luxor,Luxor,Rent Per Month,1 Bedroom Apartment Outside of City Centre,15000,,
1158,Luxor,Luxor,Salaries And Financing,Average Monthly Net Salary (After Tax),3500,,
1159,Monufia,Shebin El Kom,Restaurants,Meal at an Inexpensive Restaurant,392.5,285,500
1160,Monufia,Shebin El Kom,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),300,,
1161,Monufia,Shebin El Kom,Restaurants,Domestic Draft Beer (0.5 Liter),100,,
1162,Monufia,Shebin El Kom,Restaurants,Imported Beer (0.33 Liter Bottle),200,,
1163,Monufia,Shebin El Kom,Restaurants,Cappuccino (Regular Size),150,,
1164,Monufia,Shebin El Kom,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",150,,
1165,Monufia,Shebin El Kom,Restaurants,Bottled Water (0.33 Liter),10,,
1166,Monufia,Shebin El Kom,Markets,"Milk (Regular, 1 Liter)",40,,
1167,Monufia,Shebin El Kom,Markets,White Rice (1 kg),40,,
1168,Monufia,Shebin El Kom,Markets,"Eggs (12, Large Size)",48,,
1169,Monufia,Shebin El Kom,Markets,Local Cheese (1 kg),80,,
1170,Monufia,Shebin El Kom,Markets,Chicken Fillets (1 kg),120,,
1171,Monufia,Shebin El Kom,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),400,,
1172,Monufia,Shebin El Kom,Markets,Apples (1 kg),100,,
1173,Monufia,Shebin El Kom,Markets,Bananas (1 kg),40,,
1174,Monufia,Shebin El Kom,Markets,Oranges (1 kg),30,,
1175,Monufia,Shebin El Kom,Markets,Tomatoes (1 kg),20,,
1176,Monufia,Shebin El Kom,Markets,Potatoes (1 kg),25,,
1177,Monufia,Shebin El Kom,Markets,Onions (1 kg),20,,
1178,Monufia,Shebin El Kom,Markets,Lettuce (1 Head),30,,
1179,Monufia,Shebin El Kom,Markets,Bottled Water (1.5 Liter),10,,
1180,Monufia,Shebin El Kom,Markets,Bottle of Wine (Mid-Range),300,,
1181,Monufia,Shebin El Kom,Markets,Domestic Beer (0.5 Liter Bottle),57.5,50,65
1182,Monufia,Shebin El Kom,Markets,Imported Beer (0.33 Liter Bottle),100,,
1183,Monufia,Shebin El Kom,Markets,"Cigarettes (Pack of 20, Marlboro)",120,,
1184,Monufia,Shebin El Kom,Transportation,One-Way Ticket (Local Transport),40,,
1185,Monufia,Shebin El Kom,Transportation,Taxi Start (Standard Tariff),20,,
1186,Monufia,Shebin El Kom,Transportation,Gasoline (1 Liter),20,,
1187,Monufia,Shebin El Kom,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1200,,
1188,Monufia,Shebin El Kom,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",100,,
1189,Monufia,Shebin El Kom,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",400,,
1190,Monufia,Shebin El Kom,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",300,,
1191,Monufia,Shebin El Kom,Sports And Leisure,Cinema Ticket (International Release),150,,
1192,Monufia,Shebin El Kom,Childcare,"International Primary School, Annual Tuition per Child",20000,,
1193,Monufia,Shebin El Kom,Clothing And Shoes,Jeans (Levi's 501 or Similar),1500,,
1194,Monufia,Shebin El Kom,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),1600,,
