Id Business,Business Name,Category,City
154,مطاعم البغل الكبرى,fast_food,Mahalla
155,كافيتريا الزعيم,cafe,Mahalla
156,كافيتريا ماسبيرو,cafe,Mahalla
157,سوبر ماركت اولاد رجب,supermarket,Mahalla
158,spazio,restaurant,Mahalla
159,pizza hut delivery,fast_food,Mahalla
160,روكيت للملابس الرجالي,clothes,Mahalla
161,مطعم تظبيطه,restaurant,Mahalla
162,سنتر سامح جمعه,clothes,Mahalla
163,صيدلية علاء الطحان,pharmacy,Mahalla
164,ol a senorita,clothes,Damanhur
165,قهوة حجناية,cafe,Damanhur
166,جملة الهادى حماده عبد السلام,supermarket,Kafr El Sheikh
167,واحة مندي ابو صالح,restaurant,Kafr El Sheikh
168,اي ام اس نمبر وان,clothes,Kafr El Sheikh
169,circle,cafe,Kafr El Sheikh
170,أبو رحيم,fast_food,Kafr El Sheikh
171,قهوة كوبري محلة موسى,cafe,Kafr El Sheikh
172,دكان جمال,supermarket,Kafr El Sheikh
173,مبروك النمس,supermarket,Kafr El Sheikh
174,ماضي,clothes,Kafr El Sheikh
175,قهوة العثمانية,cafe,Kafr El Sheikh
176,صيدلية الجمهورية,pharmacy,Kafr El Sheikh
177,دكان عايدة,supermarket,Kafr El Sheikh
178,نادى التجاريين,cafe,Shebin El Kom
179,توينتي فور سيفن بلس,clothes,Shebin El Kom
180,قهوة باب الخلق,cafe,Shebin El Kom
181,مطعم مولانا,restaurant,Shebin El Kom
182,الشيخ احمد,restaurant,Shebin El Kom
183,carrefour alexandria,supermarket,Alexandria
184,tekka grill,restaurant,Alexandria
185,سوق السمك,restaurant,Alexandria
186,carlos café,cafe,Alexandria
187,mocca,cafe,Alexandria
188,mcdonald's,fast_food,Alexandria
189,صيدليه كريمه المراسي,pharmacy,Alexandria
190,الديب مول,supermarket,Alexandria
191,فول وفلافل أبو عوض,fast_food,Alexandria
192,صيدليه د. أمنيه عنتر,pharmacy,Alexandria
193,أحمد محمد فول,restaurant,Alexandria
194,cafe faros,cafe,Alexandria
195,el kobissi king of mango & strawberry,cafe,Alexandria
196,la'casa,cafe,Alexandria
197,pizza hut,restaurant,Alexandria
198,shahrzad cafe,cafe,Alexandria
199,ستوديو مصر,restaurant,Alexandria
200,لبانيرو,restaurant,Alexandria
201,corcovado (jungle),restaurant,Alexandria
202,combo court,restaurant,Alexandria
203,jeeda’s,restaurant,Alexandria
204,فطير العمدة,restaurant,Alexandria
205,نور كافيه,cafe,Alexandria
206,همبكة كافيه,cafe,Alexandria
207,مطعم سورى,restaurant,Alexandria
208,عصير مكة,fast_food,Alexandria
209,carrefour,supermarket,Alexandria
210,leila,cafe,Alexandria
211,ole,restaurant,Alexandria
212,roastery,restaurant,Alexandria
213,saint geni,pharmacy,Alexandria
214,teatro eskendria,cafe,Alexandria
215,اتصالات,mobile_phone,Alexandria
216,فتح الله جملة ماركت - جناكليس,supermarket,Alexandria
217,جاد,fast_food,Alexandria
218,زهران ماركت,supermarket,Alexandria
219,اونباشي لار,restaurant,Alexandria
220,ابو رياض السوري,restaurant,Alexandria
221,بيتزا كوين,fast_food,Alexandria
222,gleem court,fast_food,Alexandria
223,مصراوي ماركت,supermarket,Alexandria
224,قدورة,restaurant,Alexandria
225,السمان,cafe,Alexandria
226,قهوة فاروق,cafe,Alexandria
227,لاتينو latino,restaurant,Alexandria
228,abou rabeea,fast_food,Alexandria
229,kfc,fast_food,Alexandria
230,costa,cafe,Alexandria
231,007 coffee shop,cafe,Alexandria
232,بوكسر,clothes,Alexandria
233,اليكس ماركت جرين,supermarket,Alexandria
234,اليكس ماركت زين العابدين,supermarket,Alexandria
235,marciano café & restaurant,restaurant,Alexandria
236,خليل,pharmacy,Alexandria
237,كيخة كوفي,cafe,Alexandria
238,كافتيريا ساعة صفا,cafe,Alexandria
239,أسواق فتح الله للجملة,supermarket,Alexandria
240,مقهى الفيشاوي,cafe,Alexandria
241,اليكس ماركت - شركة الاسكندرية للمجمعات الاستهلاكية,supermarket,Alexandria
242,اليكس ماركت,supermarket,Alexandria
243,صيدلية بخيت,pharmacy,Alexandria
244,صيدلية خليل,pharmacy,Alexandria
245,صيدلية رشدي,pharmacy,Alexandria
246,صيدلية نيو جوانيدس,pharmacy,Alexandria
247,vodafone,mobile_phone,Alexandria
248,مطعم كسح,restaurant,Alexandria
249,مقهى جمال معوض,cafe,Alexandria
250,برشلونة,cafe,Alexandria
251,set el hawalem,clothes,Alexandria
252,مترو,supermarket,Alexandria
253,صيدلية العزبي,pharmacy,Alexandria
254,كافيه أسوان,cafe,Alexandria
255,délices,cafe,Alexandria
256,brazilian coffee stores,cafe,Alexandria
257,tawn coffe shop,restaurant,Alexandria
258,sea gull restaurant,restaurant,Alexandria
259,صيدلية الفتح,pharmacy,Alexandria
260,صيدلية هند الطيبي,pharmacy,Alexandria
261,أليكس ماركت,supermarket,Alexandria
262,صيدلية د. كمال محيي الدين,pharmacy,Alexandria
263,daija women's wear,clothes,Alexandria
264,صيدلية د. يسري عبد المجيد,pharmacy,Alexandria
265,صيدلية عبد الرحمن,pharmacy,Alexandria
266,دايلي ماركت,supermarket,Alexandria
267,صيدلية الهلال,pharmacy,Alexandria
268,صيدليات د. أسامة الطيبي,pharmacy,Alexandria
269,eat & treat,fast_food,Alexandria
270,جار,restaurant,Alexandria
271,صيدلية د. عبد الحكيم,pharmacy,Alexandria
272,elfallah liver,fast_food,Alexandria
273,swiss milks,restaurant,Alexandria
274,كلارك,clothes,Alexandria
275,صيدلية سعد زغلول,pharmacy,Alexandria
276,صيدلية أبو زيادة,pharmacy,Alexandria
277,مشويات أبو كمال,fast_food,Alexandria
278,ابو ناصر,restaurant,Alexandria
279,بيت الجماة,supermarket,Alexandria
280,trianon,cafe,Alexandria
281,kadoura,restaurant,Alexandria
282,سوق ليبيا,supermarket,Alexandria
283,جاد,restaurant,Alexandria
284,كاركي,fast_food,Alexandria
285,hussein & ali hussein,restaurant,Alexandria
286,أولاد خميس,supermarket,Alexandria
287,د/ خالد عبد الحيم,pharmacy,Alexandria
288,ألبان الأمانة,supermarket,Alexandria
289,العم زغلول,restaurant,Alexandria
290,قهوة خفاجي,cafe,Alexandria
291,calithea,restaurant,Alexandria
292,waves,restaurant,Alexandria
293,اسماك شعبان,restaurant,Alexandria
294,cilantro,cafe,Alexandria
295,potasta,cafe,Alexandria
296,سيدرا,restaurant,Alexandria
297,favore,clothes,Alexandria
298,الحسين,cafe,Alexandria
299,الحُسين,cafe,Alexandria
300,جزارة محمد حامد,restaurant,Alexandria
301,المدهش ابو الشمس,restaurant,Alexandria
302,gleem bay,restaurant,Alexandria
303,old street,restaurant,Alexandria
304,عظمة,restaurant,Alexandria
305,صيدلية اميرة خاطر,pharmacy,Alexandria
306,ابو على,clothes,Alexandria
307,misslele,clothes,Alexandria
308,فلوش,clothes,Alexandria
309,المعتز,clothes,Alexandria
310,mix brands,clothes,Alexandria
311,amigo,clothes,Alexandria
312,bonbon,clothes,Alexandria
313,gamal,clothes,Alexandria
314,the truck,fast_food,Alexandria
315,alessandra coffee,cafe,Alexandria
316,د. هدى حامد,pharmacy,Alexandria
317,ecuador coffee,cafe,Alexandria
318,البطالسة,pharmacy,Alexandria
319,صيدلية السلطان حسين,pharmacy,Alexandria
320,papa john's,fast_food,Alexandria
321,رحمة كيمو,fast_food,Alexandria
322,l’apéro,restaurant,Alexandria
323,اسطنبول,pharmacy,Alexandria
324,المعلم,fast_food,Alexandria
325,défilé,clothes,Alexandria
326,athineos,cafe,Alexandria
327,dream 2000,mobile_phone,Alexandria
328,totex,clothes,Alexandria
329,jeans life,clothes,Alexandria
330,my queen,clothes,Alexandria
331,bazooka,fast_food,Alexandria
332,believe,clothes,Alexandria
333,mermaid,restaurant,Alexandria
334,mega,clothes,Alexandria
335,marilyn monroe,clothes,Alexandria
336,chez gaby au ritrovo,restaurant,Alexandria
337,torino,clothes,Alexandria
338,محروس,clothes,Alexandria
339,café de la paix,cafe,Alexandria
340,كافيتريا المدينة,cafe,Alexandria
341,كبدة عم أمين,fast_food,Alexandria
342,قصر الفيشاوى,cafe,Alexandria
343,the chocolate factory,cafe,Alexandria
344,محفوظ,pharmacy,Alexandria
345,cowboy,clothes,Alexandria
346,aswan,cafe,Alexandria
347,sterla,clothes,Alexandria
348,bonjour,clothes,Alexandria
349,name it,clothes,Alexandria
350,melody,clothes,Alexandria
351,حباتر,cafe,Alexandria
352,جملة ماركت,supermarket,Alexandria
353,triplo c,cafe,Alexandria
354,malibu,cafe,Alexandria
355,tie house,clothes,Alexandria
356,guitar,clothes,Alexandria
357,madora,clothes,Alexandria
358,لا شيكا,clothes,Alexandria
359,بيتزا ستيشن,fast_food,Alexandria
360,سي فوليا,restaurant,Alexandria
361,jamboojo seafood - چامبوچو,restaurant,Alexandria
362,أسماك آل بندق,restaurant,Alexandria
363,hossam tex,clothes,Alexandria
364,kindrz,clothes,Alexandria
365,فيكا,cafe,Alexandria
366,وهبه,fast_food,Alexandria
367,bizarre,clothes,Alexandria
368,orphanides pharmacy,pharmacy,Alexandria
369,papyon,clothes,Alexandria
370,paolo rossini,clothes,Alexandria
371,سيف,pharmacy,Alexandria
372,gomla market,supermarket,Alexandria
373,klexy,clothes,Alexandria
374,senior,clothes,Alexandria
375,rozaki,clothes,Alexandria
376,versatshi,clothes,Alexandria
377,solo,clothes,Alexandria
378,alex,clothes,Alexandria
379,bon & chic,clothes,Alexandria
380,بوجى,clothes,Alexandria
381,ڤينوس,clothes,Alexandria
382,lyonnais 2000,clothes,Alexandria
383,الصفوة,cafe,Alexandria
384,عبايات حذقته,clothes,Alexandria
385,الشيخ,clothes,Alexandria
386,anoosh,clothes,Alexandria
387,class,clothes,Alexandria
388,طايع اخوان,clothes,Alexandria
389,فريدة,clothes,Alexandria
390,د/ غلاب,pharmacy,Alexandria
